iter	Logloss
0	0.6694076577
1	0.6486292214
2	0.630445983
3	0.613737968
4	0.5994459111
5	0.5869381483
6	0.5750930529
7	0.5654161274
8	0.5566659485
9	0.5484358196
10	0.5420169829
11	0.5354534736
12	0.5297538314
13	0.524564559
14	0.5201734138
15	0.516394369
16	0.513033721
17	0.5098246541
18	0.5071837656
19	0.5046943019
20	0.5022784258
21	0.5001837036
22	0.498667533
23	0.4969443417
24	0.4953422369
25	0.4939600381
26	0.4926159955
27	0.4914751343
28	0.4903447185
29	0.4894387436
30	0.4886751403
31	0.4878792213
32	0.4873265397
33	0.4866874505
34	0.4860365117
35	0.4855315048
36	0.4851108073
37	0.484664633
38	0.4842929884
39	0.4838891386
40	0.4836557848
41	0.4833015285
42	0.4830788122
43	0.4827874327
44	0.482494493
45	0.4822331239
46	0.4820406645
47	0.4818347698
48	0.481656839
49	0.4815401183
50	0.4813431114
51	0.4811555718
52	0.4809685889
53	0.4808607559
54	0.4807661676
55	0.4806208108
56	0.4805121879
57	0.4803575258
58	0.4802766096
59	0.480217369
60	0.4801029011
61	0.4799943972
62	0.479892983
63	0.4797950176
64	0.4797033921
65	0.4796206157
66	0.4795299506
67	0.4794608141
68	0.4793884642
69	0.4793243145
70	0.4792863991
71	0.4792299498
72	0.4791488723
73	0.4790911284
74	0.4790365294
75	0.4789639498
76	0.478900758
77	0.4788361045
78	0.4787747016
79	0.4787169105
80	0.4786814685
81	0.4786510135
82	0.4785975961
83	0.4785493462
84	0.4785130579
85	0.4784736311
86	0.4784370144
87	0.478378692
88	0.4783330618
89	0.4782880309
90	0.4782512414
91	0.4782177149
92	0.4781816378
93	0.478143717
94	0.4781000568
95	0.4780646798
96	0.4780319798
97	0.4780007147
98	0.4779239589
99	0.4778728141
100	0.4778372902
101	0.4778212956
102	0.477780348
103	0.4777422677
104	0.4776974506
105	0.4776562404
106	0.4776171736
107	0.4775811858
108	0.4775495405
109	0.4775108716
110	0.4774514088
111	0.4774168263
112	0.4773819228
113	0.4773177391
114	0.4772940225
115	0.477267782
116	0.4772381663
117	0.4772108172
118	0.4771921849
119	0.4771706181
120	0.4771560102
121	0.477123056
122	0.477076851
123	0.4770491224
124	0.4770091513
125	0.4769806757
126	0.4769284493
127	0.4769053276
128	0.476867463
129	0.4768444107
130	0.4768139021
131	0.4767967636
132	0.4767676587
133	0.4767365136
134	0.4767104243
135	0.4766671858
136	0.4766449206
137	0.4766203548
138	0.4765967105
139	0.47656387
140	0.4765360855
141	0.4764995079
142	0.4764606452
143	0.4764146471
144	0.4763608628
145	0.4763382759
146	0.4763059291
147	0.476282257
148	0.4762532905
149	0.4762047291
150	0.4761657399
151	0.4761338118
152	0.4761057168
153	0.4760799534
154	0.476052343
155	0.476029546
156	0.4760094369
157	0.4759786128
158	0.4759598589
159	0.4759254596
160	0.4759002955
161	0.4758761886
162	0.4758337751
163	0.4758136042
164	0.4757919734
165	0.4757772871
166	0.4757620796
167	0.4757221361
168	0.4756993812
169	0.4756682469
170	0.4756516485
171	0.475608808
172	0.4755912772
173	0.4755655086
174	0.4755382906
175	0.4755166792
176	0.4754773577
177	0.4754565313
178	0.4754060316
179	0.4753676286
180	0.4753511484
181	0.4753375332
182	0.4753018165
183	0.4752687765
184	0.4752455487
185	0.47522943
186	0.4751960861
187	0.4751706237
188	0.4751559418
189	0.4751171925
190	0.4750868477
191	0.4750683311
192	0.4750512121
193	0.4749913926
194	0.4749624487
195	0.4749300379
196	0.4748934465
197	0.4748378741
198	0.474808606
199	0.4747436783
200	0.4747280615
201	0.4747043718
202	0.4746603183
203	0.4746378943
204	0.4746164366
205	0.4745581947
206	0.4745007359
207	0.4744744912
208	0.474460733
209	0.4744168293
210	0.4743858906
211	0.4743451669
212	0.4742909958
213	0.4742645837
214	0.4742324122
215	0.4742153308
216	0.4741919663
217	0.4741581962
218	0.4741420203
219	0.4741132782
220	0.4740751064
221	0.4740465192
222	0.4740051632
223	0.4739714682
224	0.4739495055
225	0.4739254838
226	0.473877244
227	0.4738585169
228	0.4738034144
229	0.4737739297
230	0.4737342712
231	0.4737199533
232	0.4736963666
233	0.4736364658
234	0.4736003571
235	0.4735719649
236	0.4735175355
237	0.4734849255
238	0.4734419259
239	0.4734083938
240	0.473377581
241	0.4733212815
242	0.473283324
243	0.4732616893
244	0.4732109999
245	0.4731877303
246	0.4731507569
247	0.4730815698
248	0.4730459101
249	0.4730157877
250	0.4729920866
251	0.4729572254
252	0.4728991408
253	0.4728531826
254	0.47281375
255	0.4727617909
256	0.4727398934
257	0.4727190076
258	0.4726951026
259	0.4726739015
260	0.4726355626
261	0.4725910741
262	0.4725558364
263	0.4725183447
264	0.4725031519
265	0.472470651
266	0.4724427312
267	0.4724095297
268	0.472391945
269	0.4723653768
270	0.4723278654
271	0.4722759446
272	0.4722593041
273	0.4722183997
274	0.472177653
275	0.4721460813
276	0.4721074579
277	0.4720744969
278	0.4720289818
279	0.4720027045
280	0.4719632414
281	0.4719304526
282	0.4719024266
283	0.4718760624
284	0.4718472368
285	0.4718235991
286	0.4717901176
287	0.4717718283
288	0.4717380731
289	0.4716943956
290	0.4716656128
291	0.4716198598
292	0.471583141
293	0.4715573724
294	0.4714990182
295	0.4714456732
296	0.4714208996
297	0.4713809858
298	0.4713284852
299	0.4713067405
300	0.4712795205
301	0.4712478203
302	0.4712466382
303	0.4712125787
304	0.4711774937
305	0.4711533921
306	0.471114071
307	0.4710862339
308	0.4710518185
309	0.471023702
310	0.4709753114
311	0.4709480759
312	0.4709297002
313	0.4708929475
314	0.470870825
315	0.4708434656
316	0.4708081294
317	0.4707556658
318	0.4707085988
319	0.4706790568
320	0.4706565373
321	0.4706110077
322	0.4705873101
323	0.4705660461
324	0.4705443652
325	0.4705090478
326	0.4704696608
327	0.4704095074
328	0.4703763706
329	0.4703743461
330	0.4703384646
331	0.4703250628
332	0.4703109378
333	0.4702450048
334	0.4702119175
335	0.4701734999
336	0.470133107
337	0.4700962738
338	0.4700603006
339	0.4700239281
340	0.4700075964
341	0.4699563279
342	0.4699201243
343	0.4698828892
344	0.4698594166
345	0.4698519563
346	0.4698152946
347	0.4697732715
348	0.4697336918
349	0.4696925753
350	0.4696426565
351	0.4696102097
352	0.4695736911
353	0.4695416125
354	0.4695024057
355	0.4694466325
356	0.4694416016
357	0.4694099861
358	0.4693763328
359	0.4693416775
360	0.4693223185
361	0.4692930374
362	0.4692681662
363	0.4692225539
364	0.4691917838
365	0.4691871534
366	0.4691589158
367	0.4691135528
368	0.4690982324
369	0.4690670567
370	0.4690310445
371	0.4689993617
372	0.4689661072
373	0.4689497506
374	0.4689195711
375	0.4688718475
376	0.4688356553
377	0.4687904918
378	0.4687616531
379	0.4687396218
380	0.4687134083
381	0.4686926296
382	0.4686352741
383	0.4686030166
384	0.4685540971
385	0.4685259046
386	0.468490127
387	0.4684532783
388	0.4684144354
389	0.468403921
390	0.4683661627
391	0.4683368167
392	0.4682977616
393	0.4682644001
394	0.4682590379
395	0.4682326211
396	0.4681745729
397	0.4681375092
398	0.4681061852
399	0.4680798002
400	0.4680323925
401	0.4679760669
402	0.4679522399
403	0.4679214948
404	0.4678936688
405	0.4678776091
406	0.4678656035
407	0.467846741
408	0.4678116708
409	0.4677819831
410	0.4677802994
411	0.4677622742
412	0.4677413514
413	0.4677188677
414	0.4677056408
415	0.467672992
416	0.4676446809
417	0.4676185723
418	0.4675718757
419	0.4675405491
420	0.4675080063
421	0.4674775259
422	0.467458798
423	0.4674571469
424	0.4674353144
425	0.4674081881
