iter	Logloss
426	0.4673819364
427	0.4673624476
428	0.4673141693
429	0.4672961522
430	0.4672676741
431	0.4672444212
432	0.4672234253
433	0.4671989746
434	0.4671780687
435	0.4671510326
436	0.467126345
437	0.4670951066
438	0.4670703536
439	0.4670687604
440	0.4670380579
441	0.4669993356
442	0.4669935878
443	0.4669642402
444	0.4669258125
445	0.4669064551
446	0.46686274
447	0.4668338398
448	0.4667895892
449	0.4667381818
450	0.4666968336
451	0.4666371568
452	0.4666024988
453	0.4665856999
454	0.4665429229
455	0.4664902625
456	0.4664597725
457	0.4664395651
458	0.4663958553
459	0.4663503438
460	0.4663109933
461	0.4662768047
462	0.4662313385
463	0.4661944857
464	0.4661491986
465	0.4660904593
466	0.4660756342
467	0.4660330819
468	0.4660206096
469	0.4659898794
470	0.4659806358
471	0.4659513864
472	0.4659273484
473	0.465910875
474	0.4658776029
475	0.4658346446
476	0.4658092649
477	0.4657841418
478	0.4657635947
479	0.465737241
480	0.4656969102
481	0.4656808722
482	0.4656608754
483	0.4656190388
484	0.4655739029
485	0.4655361813
486	0.4655067321
487	0.4654944606
488	0.4654834329
489	0.4654420069
490	0.4654040495
491	0.4653757144
492	0.4653306939
493	0.4652762941
494	0.4652609085
495	0.4652194452
496	0.4652186933
497	0.4652074565
498	0.4651683287
499	0.4651470841
