iter	Passed	Remaining
426	1138	194
427	1141	192
428	1144	189
429	1146	186
430	1149	184
431	1152	181
432	1155	178
433	1157	176
434	1160	173
435	1163	170
436	1166	168
437	1169	165
438	1172	162
439	1174	160
440	1177	157
441	1180	154
442	1183	152
443	1186	149
444	1189	147
445	1193	144
446	1195	141
447	1199	139
448	1202	136
449	1205	133
450	1208	131
451	1211	128
452	1215	126
453	1218	123
454	1221	120
455	1224	118
456	1227	115
457	1230	112
458	1233	110
459	1237	107
460	1240	104
461	1243	102
462	1246	99
463	1248	96
464	1252	94
465	1255	91
466	1258	88
467	1260	86
468	1263	83
469	1265	80
470	1268	78
471	1271	75
472	1273	72
473	1275	69
474	1278	67
475	1281	64
476	1283	61
477	1286	59
478	1288	56
479	1291	53
480	1294	51
481	1296	48
482	1299	45
483	1301	43
484	1304	40
485	1307	37
486	1309	34
487	1312	32
488	1314	29
489	1317	26
490	1319	24
491	1322	21
492	1324	18
493	1327	16
494	1329	13
495	1332	10
496	1334	8
497	1337	5
498	1339	2
499	1342	0
